TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow
82444.289,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.341,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.400,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.431,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.469,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.512,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.562,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.602,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.638,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.674,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.727,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.772,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.811,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.854,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.901,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.941,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82444.979,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.031,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.084,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.122,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.156,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.193,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.244,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.282,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.324,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.357,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.408,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.455,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.486,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.523,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.573,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.612,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.650,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.691,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.742,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.781,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.822,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.858,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.909,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.949,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82445.987,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.026,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.079,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.116,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.153,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.191,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.245,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.283,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.320,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.358,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.412,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.449,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.485,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.522,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.570,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.613,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.649,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.689,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.745,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.785,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.820,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.859,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.909,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.951,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82446.987,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.024,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.073,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.115,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.151,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.189,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.243,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.278,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.314,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.350,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.399,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.438,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.473,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.513,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.569,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.608,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.642,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.678,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.727,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.769,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.809,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.850,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.904,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.947,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82447.980,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.015,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.066,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.108,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.144,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.180,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.234,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.274,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.312,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.348,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.402,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.441,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.478,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.516,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.567,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.611,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.687,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.741,1800,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.791,1799.945,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.825,1799.895,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.863,1799.861,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.898,1799.822,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.934,1799.787,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82448.969,1799.751,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82449.004,1799.716,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82449.040,1799.682,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82449.087,1799.645,City,-105.7,1.399202,-0.9,0,0,Objectives,0,0,1
82449.131,1799.6,City,-105.664,1.399202,-0.9,0,0,Objectives,0,0,1
82449.150,1799.556,City,-105.628,1.399202,-0.9,0,0,Objectives,0,0,1
82449.186,1799.535,City,-105.52,1.399202,-0.9,0,0,Objectives,0,0,1
82449.222,1799.5,City,-105.368,1.399202,-0.9,0,0,Objectives,0,0,1
82449.258,1799.464,City,-105.208,1.399202,-0.9,0,0,Objectives,0,0,1
82449.291,1799.428,City,-105.128,1.399202,-0.9,0,0,Objectives,0,0,1
